id,lat,lon
1,24.64160666,-81.69289859
2,26.24764812,-98.1936634
3,26.25971744,-97.57419235
4,25.09631816,-80.99075496
5,26.79060046,-98.83303356
6,26.80678617,-98.20935876
7,26.81896865,-97.58545781
8,25.64470648,-80.88545149
9,25.54670918,-80.28056228
10,27.33042171,-99.48131133
11,27.35079603,-98.85344384
12,27.36713301,-98.22528028
13,27.37942936,-97.59688565
14,26.28933477,-81.38915622
15,26.19423783,-80.77867512
16,26.09533263,-80.16969757
17,27.89159263,-99.50656502
18,27.91215674,-98.87415024
19,27.92864592,-98.24143289
20,27.94105684,-97.60847941
21,27.94938701,-96.97535638
22,26.9329594,-81.90118416
23,26.84084536,-81.28504978
24,26.74486966,-80.67039506
25,26.64505114,-80.05727554
26,28.42902046,-100.168839
27,28.45388407,-99.53218757
28,28.47463913,-98.89515924
29,28.49128144,-98.25782165
30,28.50380763,-97.62024272
31,28.51221517,-96.98249051
32,28.51650236,-96.34463317
33,27.57542936,-82.42170713
34,27.48638136,-81.7998585
35,27.39341834,-81.17946352
36,27.29655867,-80.56057966
37,28.99215811,-100.1995114
38,29.01725182,-99.55818712
39,29.03819899,-98.91647752
40,29.05499536,-98.27445179
41,29.06763753,-97.63217935
42,29.07612291,-96.98972976
43,29.08044979,-96.34717271
44,29.08061729,-95.70457797
45,28.13069318,-82.32327699
46,28.04082662,-81.69707906
47,27.94700963,-81.07236599
48,27.84926081,-80.44919639
49,29.36713881,-103.4526039
50,29.52682097,-100.8762399
51,29.55632575,-100.2306382
52,29.58165095,-99.58457205
53,29.60279138,-98.93811196
54,29.61974275,-98.29132867
55,29.63250159,-97.64429313
56,29.64106529,-96.99707648
57,29.6454321,-96.34974996
58,29.64560114,-95.70238489
59,29.64157237,-95.05505262
60,29.63334661,-94.40782448
61,29.58350849,-92.46747675
62,29.55852013,-91.82137628
63,29.52935174,-91.17573459
64,29.49600924,-90.5306219
65,29.45849945,-89.88610807
66,29.41682998,-89.24226256
67,28.68694026,-82.22342136
68,28.59625036,-81.59281461
69,28.50157442,-80.96372484
70,29.87979522,-104.1550294
71,29.93055261,-103.5080688
72,29.97713102,-102.8602786
73,30.01952097,-102.2117288
74,30.0577138,-101.5624899
75,30.0917017,-100.912633
76,30.12147773,-100.2622295
77,30.14703579,-99.61135097
78,30.16837065,-98.96006965
79,30.18547793,-98.30845782
80,30.19835414,-97.65658805
81,30.20699662,-97.00453308
82,30.21140362,-96.35236575
83,30.21157421,-95.70015901
84,30.20750837,-95.0479858
85,30.19920694,-94.39591908
86,30.18667161,-93.7440317
87,30.16990495,-93.09239642
88,30.14891041,-92.44108579
89,30.12369228,-91.7901722
90,30.09425573,-91.13972772
91,30.06060678,-90.48982415
92,30.02275232,-89.8405329
93,29.98070008,-89.19192498
94,29.6407729,-85.31854202
95,29.33160287,-82.75867364
96,29.24412504,-82.1221093
97,29.15260702,-81.48703305
98,29.05706717,-80.85350679
99,30.44367229,-104.2161198
100,30.49489408,-103.5643634
101,30.54189881,-102.9117586
102,30.58467688,-102.2583772
103,30.6232195,-101.6042911
104,30.65751878,-100.9495729
105,30.68756766,-100.2942957
106,30.71335997,-99.63853278
107,30.73489041,-98.98235787
108,30.75215454,-98.32584494
109,30.76514881,-97.6690682
110,30.77387055,-97.01210204
111,30.77831796,-96.35502097
112,30.77849012,-95.69789958
113,30.77438699,-95.0408125
114,30.76600943,-94.38383432
115,30.75335916,-93.72703957
116,30.73643878,-93.07050264
117,30.71525177,-92.41429777
118,30.68980251,-91.75849894
119,30.66009621,-91.10317989
120,30.62613899,-90.448414
121,30.58793782,-89.79427431
122,30.54550054,-89.14083342
123,30.49883585,-88.48816346
124,30.44795331,-87.83633605
125,30.39286333,-87.18542225
126,30.27010688,-85.88661664
127,30.20246546,-85.23886375
128,30.13066664,-84.59230219
129,30.054725,-83.94699959
130,29.97465594,-83.30302271
131,29.89047567,-82.6604375
132,29.8022012,-82.019309
133,29.70985031,-81.37970132
134,30.95249362,-104.9338128
135,31.00842724,-104.2781296
136,31.06011614,-103.6215064
137,31.1075497,-102.9640155
138,31.15071816,-102.3057303
139,31.18961264,-101.6467243
140,31.22422512,-100.9870719
141,31.25454846,-100.3268477
142,31.2805764,-99.66612664
143,31.30230357,-99.00498415
144,31.31972547,-98.34349591
145,31.33283851,-97.6817378
146,31.34163997,-97.01978592
147,31.34612803,-96.3577165
148,31.34630177,-95.69560584
149,31.34216114,-95.03353027
150,31.333707,-94.37156611
151,31.3209411,-93.70978958
152,31.30386609,-93.04827678
153,31.28248549,-92.38710365
154,31.25680372,-91.72634586
155,31.22682609,-91.06607882
156,31.19255879,-90.40637759
157,31.15400887,-89.74731685
158,31.1111843,-89.08897083
159,31.06409388,-88.43141329
160,31.0127473,-87.77471745
161,30.95715511,-87.11895593
162,30.89732871,-86.46420075
163,30.83328037,-85.81052324
164,30.76502319,-85.157994
165,30.69257111,-84.50668289
166,30.61593892,-83.85665895
167,30.53514221,-83.20799038
168,30.4501974,-82.5607445
169,30.36112173,-81.91498771
170,31.45685718,-105.6612467
171,31.51757047,-105.0016808
172,31.5740123,-104.3410797
173,31.62617103,-103.679517
174,31.67403591,-103.0170669
175,31.71759704,-102.3538041
176,31.75684543,-101.6898042
177,31.79177294,-101.0251429
178,31.82237235,-100.3598965
179,31.8486373,-99.69414197
180,31.87056236,-99.02795624
181,31.88814296,-98.36141676
182,31.90137546,-97.69460119
183,31.91025711,-97.02758737
184,31.91478607,-96.36045328
185,31.91496138,-95.69327701
186,31.91078302,-95.02613663
187,31.90225186,-94.35911024
188,31.88936966,-93.69227582
189,31.87213911,-93.02571123
190,31.85056378,-92.35949414
191,31.82464814,-91.69370198
192,31.79439759,-91.02841188
193,31.75981838,-90.36370062
194,31.72091769,-89.69964458
195,31.67770356,-89.03631968
196,31.63018493,-88.37380133
197,31.57837161,-87.71216441
198,31.5222743,-87.05148317
199,31.46190456,-86.3918312
200,31.39727481,-85.73328142
201,31.32839833,-85.07590599
202,31.25528925,-84.41977627
203,31.17796254,-83.76496278
204,31.09643402,-83.1115352
205,31.01072032,-82.45956226
206,30.9208389,-81.80911174
207,31.37860379,-111.0045033
208,31.47381805,-110.351051
209,31.56484759,-109.6959683
210,31.65167383,-109.0393233
211,31.734279,-108.3811852
212,31.81264619,-107.7216241
213,31.8867593,-107.0607109
214,31.9566031,-106.3985179
215,32.02216318,-105.7351177
216,32.08342603,-105.0705841
217,32.14037899,-104.4049915
218,32.19301027,-103.7384152
219,32.24130896,-103.0709309
220,32.28526504,-102.4026153
221,32.32486939,-101.7335454
222,32.36011377,-101.0637989
223,32.39099085,-100.3934537
224,32.4174942,-99.7225885
225,32.4396183,-99.05128211
226,32.45735853,-98.37961374
227,32.47071119,-97.70766285
228,32.4796735,-97.03550909
229,32.48424359,-96.36323226
230,32.48442049,-95.69091226
231,32.48020419,-95.018629
232,32.47159555,-94.34646237
233,32.45859637,-93.67449219
234,32.44120937,-93.00279812
235,32.41943817,-92.33145965
236,32.39328731,-91.66055598
