GEO_ID	REGION	DIVISION	STATEFP	STATENS	STUSPS	NAME	LAT	LON	"LAT,LON"	ADDRESS	STREET	CITY	COUNTRY
1505	2	4	46	1785534	SD	South Dakota	44.385949	-102.039162	"44.385949,-102.039162"	"Quinn-Pedro Rd,Wall,SD 57790,USA"	Quinn-Pedro Rd	Wall	USA
1506	2	4	46	1785534	SD	South Dakota	44.423037	-101.240314	"44.423037,-101.240314"	"Unnamed Rd,Midland,SD 57552,USA"	Unnamed Rd	Midland	USA
1507	2	4	46	1785534	SD	South Dakota	44.454874	-100.440585	"44.454874,-100.440585"	"Unnamed Rd,Fort Pierre,SD 57532,USA"	Unnamed Rd	Fort Pierre	USA
1508	2	4	46	1785534	SD	South Dakota	44.481451	-99.640107	"44.481451,-99.640107"	"326th Ave,Holabird,SD 57540,USA"	326th Ave	Holabird	USA
1509	2	4	46	1785534	SD	South Dakota	44.502763	-98.839014	"44.502763,-98.839014"	"19832-19898 367th Ave,St Lawrence,SD 57373,USA"	19832-19898 367th Ave	St Lawrence	USA
1510	2	4	46	1785534	SD	South Dakota	44.518805	-98.037442	"44.518805,-98.037442"	"19756-19772 409th Ave,Yale,SD 57386,USA"	19756-19772 409th Ave	Yale	USA
1511	2	4	46	1785534	SD	South Dakota	44.529572	-97.235526	"44.529572,-97.235526"	"44850-44898 197th St,Lake Norden,SD 57248,USA"	44850-44898 197th St	Lake Norden	USA
1512	2	4	27	662849	MN	Minnesota	44.535062	-96.433401	"44.535062,-96.433401"	"Unnamed Rd,Hendricks,MN 56136,USA"	Unnamed Rd	Hendricks	USA
1513	2	4	27	662849	MN	Minnesota	44.535275	-95.631202	"44.535275,-95.631202"	"County Road 78,Cottonwood,MN 56229,USA"	County Road 78	Cottonwood	USA
1514	2	4	27	662849	MN	Minnesota	44.530209	-94.829066	"44.530209,-94.829066"	"41537-41999 State Highway 19,Franklin,MN 55333,USA"	41537-41999 State Highway 19	Franklin	USA
1515	2	4	27	662849	MN	Minnesota	44.519867	-94.027128	"44.519867,-94.027128"	"29535-29701 381st Ln,Henderson,MN 56044,USA"	29535-29701 381st Ln	Henderson	USA
1516	2	4	27	662849	MN	Minnesota	44.50425	-93.225523	"44.50425,-93.225523"	"7915 307th St W,Northfield,MN 55057,USA"	7915 307th St W	Northfield	USA
1517	2	4	27	662849	MN	Minnesota	44.483363	-92.424387	"44.483363,-92.424387"	"30165 County 5 Blvd,Red Wing,MN 55066,USA"	30165 County 5 Blvd	Red Wing	USA
